30.8,33.0,23.0,72.5,0.0,85.19,0.0,1
94.45,93.62,72.89,127.17,34.16,121.86,41.18,1
75.04,76.69,70.09,129.3,42.98,127.03999999999999,64.3,1
91.24,87.34,63.96,135.77,56.9,119.28,43.26,1
97.44,96.28,58.59,114.59,33.39,131.91,55.52,1
93.33,93.33,57.05,121.57,37.83,148.66,52.16,1
81.8,93.57,75.55,108.44,66.63,128.82,48.41,1
64.39,76.05,60.46,128.13,55.16,118.61,35.35,1
87.58,98.29,62.97,125.2,54.03,144.87,58.96,1
85.17,91.69,71.99000000000001,126.42,62.56,151.35,44.48,1
67.43,82.18,59.14,115.72,46.73,126.1,38.91,1
72.11,85.57,89.08,116.02000000000001,35.2,119.35,45.39,1
81.51,86.28999999999999,84.06,129.16,46.42,132.55,39.49,1
96.7,66.45,75.49000000000001,130.64,51.54,135.1,61.12,1
87.74,70.53999999999999,57.61,106.59,54.86,143.44,35.18,1
82.24,75.78,76.15,136.29,40.49,122.41999999999999,47.43,1
89.02,68.1,81.81,120.64,48.39,127.58,54.56,1
85.8,98.99,63.88,127.33,60.51,142.32999999999998,39.28,1
79.33,77.47999999999999,72.71000000000001,114.00999999999999,64.27,144.07999999999998,45.86,1
74.57000000000001,93.82,85.37,129.87,63.36,122.09,34.32,1
26.7,31.0,11.4,58.4,0.0,85.6,0.0,1
70.42999999999999,80.62,74.08,106.83,45.99,148.32999999999998,56.95,1
75.52,87.6,74.19,95.55,50.29,125.17999999999999,51.34,1
83.29,83.65,69.31,112.65,38.57,145.78,50.43,1
63.42999999999999,96.04,59.3,112.78999999999999,63.18,137.38,59.7,1
72.63,91.95,74.18,114.0,38.88,138.47,59.34,1
74.4,85.7,61.55,124.31,57.38,130.64,34.76,1
61.03,68.32,69.44,111.49000000000001,38.29,120.44,52.9,1
76.38,66.68,53.4,112.92,66.46,139.23,38.16,1
65.03,89.11,68.38,95.09,37.02,125.22999999999999,55.53,1
64.46,79.15,73.61,95.22,57.17,145.1,40.27,1
89.95,73.22,54.73,116.31,33.9,125.94999999999999,65.77,1
88.57,86.78,45.089999999999996,117.63,59.67,150.64999999999998,48.93,1
81.67999999999999,95.69,69.76,100.67,42.44,129.18,40.3,1
84.95,87.64,72.95,104.00999999999999,35.8,136.82999999999998,36.84,1
78.53,77.62,72.55,112.35,60.85,141.32999999999998,54.25,1
84.1,82.92,76.99000000000001,122.46000000000001,53.37,150.97,65.53,1
90.1,87.85,57.9,113.05,61.51,132.66,42.13,1
78.99,89.47,75.28,117.58,38.79,142.51,52.78,1
81.92,78.47,76.56,106.8,43.93,119.82,46.02,1
26.3,28.8,11.4,61.0,0.0,84.93,0.0,1
74.37,82.96,57.53,119.19,47.97,135.70000000000002,55.3,1
84.2,70.12,68.07000000000001,103.69,55.59,127.57000000000001,54.46,1
74.72,91.39,49.87,104.02000000000001,40.22,141.24,35.05,1
64.33,68.28,49.19,107.92,37.74,136.58,57.88,1
76.12,90.83,77.56,109.33,63.06,150.53,66.34,1
